position,person,personID,start,end
member of the National Assembly,Ronnie Brunswijk,Q1968705,2005,
member of the National Assembly,Hugo Jabini,Q16201341,2010,2015
member of the National Assembly,Chan Santokhi,Q333135,2010-08-12,2020-07-16
member of the National Assembly,Ashwin Adhin,Q20670527,2015,
member of the National Assembly,Krishna Mathoera,Q73243050,2015,2020
member of the National Assembly,Soerjani Mingoen-Karijomenawi,Q96942215,2020,
member of the National Assembly,Dew Sharman,Q73516024,2020-06-29,
member of the States,Hendrik Soemodihardjo,Q100708502,1963,2000-09-30
