who,position,positionLabel,startDate,endDate,replaces,replacesLabel,replacedBy,replacedByLabel,posidx
64546117,,,,,,,,,0
64546117,Minister of Defense,Minister of Defense,2020-07-16,,Ronnie Benschop,Ronnie Benschop,,,1
64546117,National Assembly (Suriname),Member of the National Assembly,2015,,,,,,2
