who,position,positionLabel,startDate,endDate,replaces,replacesLabel,replacedBy,replacedByLabel,posidx
36482465,,,,,,,,,0
36482465,Q878254,9th President of Suriname,2020-07-16,,Q57667,Dési Bouterse,,,1
36482465,Progressive Reform Party (Suriname),Leader of the Progressive Reform Party,2011-07-03,,Ramdien Sardjoe,Ramdien Sardjoe,,,2
36482465,National Assembly (Suriname),Member of the National Assembly,2010-08-12,2020-07-16,,,,,3
36482465,List of ministers of Justice and Police (Suriname),Minister of Justice and Police,2005-09-01,2010-08-13,,Siegfried Gilds,,Lamuré Latour (ad interim) Martin Misiedjan,4
36482465,Caribbean Community,Chairman of the Caribbean Community,2022-07-01,,Johnny Briceño,Johnny Briceño,,,5
