who,position,positionLabel,startDate,endDate,replaces,replacesLabel,replacedBy,replacedByLabel,posidx
29652789,,,,,,,,,0
29652789,,,,,,,,,1
29652789,,,,,,,,,2
29652789,,,,,,,,,3
29652789,,,,,,,,,4
29652789,,Vice President of Suriname,2020-07-16,,Q20670527,Ashwin Adhin,,,5
29652789,List of Chairmen of the National Assembly of Suriname,Chairman of the National Assembly of Suriname,2020-06-29,2020-07-14,Q440403,Jennifer Simons,Q17269736,Marinus Bee,6
29652789,National Assembly (Suriname),Member of the National Assembly,2005,,,,,,7
29652789,General Liberation and Development Party,Leader of the General Liberation and Development Party,1990-02-11,,,Party established,,,8
