position,positionLabel,ofLabel,jurisdictionLabel,people,example
Q53747749,Prime Minister of Suriname,,Suriname,2,Q1444020
Q83307,minister,,<noval>,2,Q97484521
Q64349028,President of the Caribbean Community,,,1,Q333135
Q3068962,President pro tempore of the Union of South American Nations,,,1,Q57667
Q76302606,districts commissary,,district of Suriname,1,Q97497908
