@@,item,itemlabel,startdate,enddate
+++,,Glenn Sedney,1995-06-30,2001-07-01
+++,,Ernst Mercuur,2001-07-01,2010-02-04
+++,,Hedwig Gilaard,2010-02-04,2013-07-10
+++,Q46837592,Ronni Benschop,2013-07-10,2014-02-04
+++,Q46837592,Ronni Benschop,2014-02-04,2015-08
+++,,Adolf Jardim,2015-08,2019-03
+++,,Robert Kartodikromo,2019-03-22,2021-05-03
+++,,Henri van Axeldongen,2021-05-03,2022-03
+++,,Werner Kioe A Sen,2022-04-01,
