item,itemLabel,position,positionLabel,startDate,endDate,source,psid
Q1871549,Albert Ramdin,Q18204391,Minister of Foreign Affairs,2020-07-16,,,Q1871549-e5913f04-48b5-6d87-ab3b-3d5457f4b3e9
Q1968705,Ronnie Brunswijk,Q2520544,Vice President of Suriname,2020-07-16,,,Q1968705-E93222B1-3D94-4376-AED7-5D452ACCD1CA
Q333135,Chan Santokhi,Q878254,President of Suriname,2020-07-16,,,Q333135-ccef9953-429a-2ae5-6307-9ae4d954d672
Q73243050,Krishna Mathoera,Q109120664,Minister of Defence of Suriname,2020-07-16,,,Q73243050-7B262E40-A928-4082-8833-C09B3DC5CBB7
