item,itemLabel,startDate,endDate,sourceDate,psid
Q2380953,Errol Snijders,1997,2000,2022-09-13,Q2380953-9FF2A590-47DA-4FAF-8F65-8219DD71588B
Q3127467,Marie Levens,2000,2005,2022-09-13,Q3127467-0BC147BF-FE45-4A23-AC68-1E66F9480ACB
Q58149,Lygia Kraag-Keteldijk,2005-09-02,2010-08-12,,Q58149-B1DF8080-1480-4E4A-83F7-4DE0F86B328C
Q3486213,Winston Lackin,2010-08-13,2015-08-13,,Q3486213-49e7f3a4-459c-2570-dcb2-824e73598dcd
Q22003256,Niermala Badrising,2015-08-13,2017-02-01,,Q22003256-5F3A4D39-A944-4FF6-A030-709A13AF2B1B
Q28859452,Yldiz Pollack-Beighle,2017-02-01,2020-07-16,2022-09-13,Q28859452-EB99CAFA-0B5C-4C6E-832E-DECD48F82A23
Q1871549,Albert Ramdin,2020-07-16,,,Q1871549-e5913f04-48b5-6d87-ab3b-3d5457f4b3e9
